"","Category","dbID","siteID","SiteName","SubTitle","Lat","Lon","Desc","Sview","Sviewlat","Sviewlong","Heading","Zoom","Pitch","top","mapzoom","sponsor","Categ","ImageN","Image1","Image2","Image3","Image4"
"234","Historic","205","N14","Oakes's House","Kirkland Lake","48.14825",-80.048393,"The first gold at Kirkland Lake was found in quartz <a href=""/def/veins"">Veins</a> by Ed Hargreaves and William Wright in 1911, while out hunting rabbits. But the person forever associated with the boom is Sir Harry Oakes (murdered in 1943 under strange circumstances in the Bahamas). His Lakeshore Mine became the richest in North America (with the exception of the Homestake Mine in South Dakota). Production from the area peaked in 1939 but gold mining lasted for another sixty years until the close of the last of the original mines, the Macassa. The area has enjoyed a rebirth recently with much new exploration. Oakes' House (Site <a href=""/N4"">N4</a>) in Kirkland Lake is a now a mining museum.","y",NA,NA,43.11,0,-3.38,"n",13,"",3,NA,"sitePictures/n14a.png","sitePictures/n14b.png","sitePictures/n14c.png","sitePictures/n14d.png"
"235","Earth History","206","N15","Abitibi Greenstones","Vipond pillow Lava Basalt","48.46633333",-81.30283333,"Near Timmins, pillow <a href=""/def/lava"">Lava</a> <a href=""/def/basalt"">Basalt</a> was erupted underwater some 2.7 billion years ago. It is beautifully exposed at the Fire Tower overlooking the junction of Vipond and Moneta roads (Site <a href=""/N15"">N15</a>). Individual pillows are up to 3 metres in diametre. They are rimmed by dark green-coloured glassy <a href=""/def/basalt"">Basalt</a>. Note the round pea-shaped ""spherulites"" of white feldspar that formed within the core of the pillows","n",NA,NA,NA,NA,NA,"n",16,"",1,NA,"sitePictures/n15a.png","sitePictures/n15b.png","sitePictures/n15c.png","sitePictures/n15d.png"
"236","Rocks and Minerals","207","N16","Pearl Lake Porphyry","Rocks of the Abitibi Greenstone Belt at Timmins","48.47633333",-81.30733333,"Much of the Superior <a href=""/def/province"">Province</a> of the Canadian <a href=""/def/shield"">Shield</a> is composed of <a href=""/def/archean"">Archean</a> (>2.5 billion) metamorphic volcanic rocks that form large belts named '<a href=""/def/greenstone_belts"">Greenstone belts</a>' after their typical colour. One of the largest such belts in the world, the Abitibi <a href=""/def/greenstone_belt"">Greenstone belt</a> which consists of great thicknesses of metamorphosed volcanic rocks such as pillow <a href=""/def/lavas"">Lavas</a>, deepwater <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> (called <a href=""/def/turbidites"">Turbidites</a>) all pierced by large <a href=""/def/granite"">Granite</a> <a href=""/def/plutonic_rocks"">Plutonic rocks</a>. Check out the rear of the Comfort Inn (Site <a href=""/N17"">N17</a>) in Schumacher on Highway 101 for intensely-sheared Pearl Lake Porphyry with sub-horizontal gold-bearing quartz <a href=""/def/veins"">Veins</a>. These were worked in the nearby Hollinger Mine, which lies immediately to the south. ","n",NA,NA,NA,NA,NA,"n",16,"",5,NA,"sitePictures/n16a.png","sitePictures/n16b.png","sitePictures/n16c.png","sitePictures/n16d.png"
"237","Earth History","208","N17","Turbidites of the Abitibi Greenstone Belt","","48.49383333",-81.20333333,"Much of the Canadian <a href=""/def/shield"">Shield</a> in northern Ontario is composed of 2.5 billion-year-old volcanic rocks that form large ""<a href=""/def/greenstone_belts"">Greenstone belts</a>"" named after their typical colour. One of the largest such belts in the world, the Abitibi <a href=""/def/greenstone_belt"">Greenstone belt</a> has been a source of enormous wealth with world-class deposits of copper-zinc-lead, gold, nickel-copper, and others. It consists of very thick accumulations of metamorphosed volcanic rocks, such as pillow <a href=""/def/lavas"">Lavas</a> (<a href=""/N15"">N15</a>), and <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> deposited in the deep waters of an ancient ocean basin by downslope slumping and flow. These are called <a href=""/def/turbidites"">Turbidites</a> because they moved downslope as turbulent mixtures of water and<a href=""/def/_sediment ""> Sediment </a>much like a snow avalanche (<a href=""/C40"">C40</a>). Fantastic <a href=""/def/exposures"">Exposures</a> of <a href=""/def/turbidites"">Turbidites</a> of the Timiskaming<a href=""/def/_series ""> Series </a>occur on the north side of Ferguson Avenue in South Porcupine just east of Crawford Street. ","n",NA,NA,NA,NA,NA,"n",13,"",1,NA,"sitePictures/n17a.png","sitePictures/n17b.png","sitePictures/n17c.png","sitePictures/n17d.png"
"238","Earth History","209","N18","Green pebbles in Conglomerates","Abitibi Greenstones","48.545343",-80.899898,"Much of the Canadian <a href=""/def/shield"">Shield</a> in northern Ontario is composed of 2.5 billion-year-old volcanic rocks that form large ""<a href=""/def/greenstone_belts"">Greenstone belts</a>"" named after their typical color. One of the largest such belts in the world, the Abitibi <a href=""/def/greenstone_belt"">Greenstone belt</a> has been a source of enormous wealth with world-class deposits of copper-zinc-lead, gold, nickel-copper, and others. It consists of very thick accumulations of metamorphosed volcanic rocks, such as pillow <a href=""/def/lavas"">Lavas</a> (<a href=""/N15"">N15</a>), and deep water <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> deposited in the deep waters of an ancient ocean basin by downslope slumping and flow (<a href=""/N17"">N17</a>). These are called <a href=""/def/turbidites"">Turbidites</a> because they moved downslope as turbulent mixtures of water and<a href=""/def/_sediment ""> Sediment </a>much like a snow avalanche. These are well exposed on the north side of Highway 101 immediately west of the intersection with Municipal Road (old Highway 67 which leads up to <a href=""/def/kettle_lakes"">Kettle lakes</a> Provincial Park) where <a href=""/def/conglomerates"">Conglomerates</a> show bright green pebbles of metamorphosed <a href=""/def/basalt"">Basalt</a> altered to a bright green color by the<a href=""/def/_mineral ""> Mineral </a>fuchsite. ","y",NA,NA,8.03,0,4.88,"n",14,"",1,NA,"sitePictures/n18a.png","sitePictures/n18b.png","sitePictures/n18c.png","sitePictures/n18d.png"
"239","Rocks and Minerals","210","N19","Timmins","Gold Aplenty","48.479849",-81.298574,"Timmins was named in 1912 after the famous prospector Noah Timmins. The city grew out of the 1909 discovery of gold rich quartz <a href=""/def/veins"">Veins</a> that <a href=""/def/outcrop"">Outcrop</a> at Porcupine, on the shore of Porcupine Lake. This discovery heralded one of the biggest gold rushes in Ontario history. To date, more than 75 million ounces of gold have been produced from rocks of the Abitibi <a href=""/def/greenstone_belt"">Greenstone belt</a>, only exceeded by the famous Witwatersrand mines of South Africa. Take the underground gold mine discovery tour while in Timmins and drive the self-guided mining tour. Check out the Timmins Chamber of Commerce for information and maps. ","y",NA,NA,265.25,0,-6.45,"y",16,"",5,NA,"sitePictures/n19a.png","sitePictures/n19b.png","sitePictures/n19c.png","sitePictures/n19d.png"
"240","Historic","211","N20","French River and the Voyageurs","Water Road Truckers","46.01633333",-80.58216667,"In the early 1600s, at the time of European contact, the Canadian <a href=""/def/shield"">Shield</a> was occupied by small, migratory bands of Algonkian speaking trappers and hunters. They swapped furs for corn and dried meat from the sedentary Iroquois-speaking Huron who farmed to the south. This became the basis for a European fur trade that was determined by the waterways of northern Canada. Visit the interpretation centre on Highway 69 immediately south of the bridge across the French River.  ","n",NA,NA,NA,NA,NA,"n",16,"",3,NA,"sitePictures/n20a.png","sitePictures/n20b.png","sitePictures/n20c.png","sitePictures/n20d.png"
"241","Earth History","212","N21","The Grenville Front Tectonic Zone on Highway 69","Sudbury","46.420612",-80.882871,"Just south of Sudbury, the traveler driving along Highway 69 will get a rare glimpse of one of the most dramatic geologic boundaries anywhere in Ontario - if not in Canada. To the north lies rocks that are roughly 2.9 -1.6 billion years old. A major thrust fault, called the Grenville Front Tectonic Zone, separates these two kinds of rock from the much younger (< 1.5 billion years old) metamorphic rocks of the Grenville <a href=""/def/province"">Province</a> to the south. This abrupt boundary is where the eastern margin of North America (""<a href=""/def/laurentia"">Laurentia</a>"") once lay when part of South America slammed into it forming huge mountains. Looking east along the swamp on Highway 69 it can be seen, as well as in the community of Wahnapitae 10 kilometres east of Sudbury on Highway 17. The new highway 400 is being developed through this area and new road cuts are being opened up.","y",NA,NA,27.29,0,-7.87,"n",16,"",1,NA,"sitePictures/n21a.png","sitePictures/n21b.png","sitePictures/n21c.png","sitePictures/n21d.png"
"242","Earth History","213","N22","The Grenville Front Tectonic Zone","Wahnapitae","46.48766667",-80.79083333,"Steeply dipping Huronian rocks pushed up along the GFTZ are easily seen in the small community of Wahnapitae on Highway 17 some 10 kilometres east of Sudbury . It's incredible to think that long ago, mountains that rivalled the Himalayas stood above these two sites.","y",NA,NA,31.06,1,-9.4,"n",16,"",1,NA,"sitePictures/n22a.png","sitePictures/n22b.png","sitePictures/n22c.png","sitePictures/n22d.png"
"243","Rocks and Minerals","214","N23","Murray Mine","","46.516528",-81.053334,"Sudbury's impressive mining history began in 1883 when copper<a href=""/def/_ore ""> Ore </a>was found in rock cuts made to facilitate the Canadian Pacific Railway. At first, mining concentrated on copper extraction, but with the arms race between Britain and Germany before the First World War, Canadian nickel mining at Sudbury really took off. The construction of heavily armoured ""dreadnought"" battle cruisers vastly increased demand.","y",NA,NA,273.56,0,-10.38,"n",16,"",5,NA,"sitePictures/n23a.png","sitePictures/n23b.png","sitePictures/n23c.png","sitePictures/n23d.png"
"244","Rocks and Minerals","215","N24","Dynamic Earth and The Big Nickel","","46.473867",-81.033194,"At Dynamic Earth and the Big Nickel At Dynamic Earth , visitors can explore the seven-storey deep ""Inco Chasm"" and underground mining tunnels. The Big Nickel is a replica of a 1951 nickel coin bearing the head of George VI. The big coin was built to celebrate the 200th anniversary of the experiment by Swedish chemist Axel Fredrik Cronstedt, who was the first to successfully isolate nickel as an element.","y",46.473908,-81.035285,96.64,0,-0.31,"y",16,"",5,NA,"sitePictures/n24a.png","sitePictures/n24b.png","sitePictures/n24c.png","sitePictures/n24d.png"
"245","Rocks and Minerals","216","N25","Copper Cliff Museum","","46.473668",-81.066685,"Copper Cliff Museum, A log cabin dating from 1885 is preserved in Copper Cliff as if it still housed a 19thcentury miner and his family. The museum also contains an extensive collection of photographs chronicling the rich history of mining in the area.","y",NA,NA,274.85,0,-1.57,"n",16,"",5,NA,"sitePictures/n25a.png","sitePictures/n25b.png","sitePictures/n25c.png","sitePictures/n25d.png"
"246","Earth History","217","N26","Shatter Cones","","46.468122",-80.980397,"Shatter cones are produced by violent shock waves during <a href=""/def/meteorite"">Meteorite</a> impact. They occur in a belt that surrounds the Sudbury Structure  and testify to the violent impact caused by the 10 kilometre wide <a href=""/def/meteorite"">Meteorite</a>. They are most accessible along Ramsey Lake Road on the way up to the campus of <a href=""/def/laurentia"">Laurentia</a>n University.","y",NA,NA,118.69,0,-8.18,"n",16,"",1,NA,"sitePictures/n26a.png","sitePictures/n26b.png","sitePictures/n26c.png","sitePictures/n26d.png"
"247","Rocks and Minerals","218","N27","Chelmsford Concretions","","46.573567",-81.288329,"Chelmsford concretions the last stage in the history of the <a href=""/def/meteorite"">Meteorite</a> crater was its infilling with seawaters and great thicknesses of <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a>. The Chelmsford<a href=""/def/_formation ""> Formation </a>exposed on Highway 144, just east of Dowling, shows distinctive circular concretions made of carbonate. They are diagenetic in origin, meaning they were formed during <a href=""/def/lithification"">Lithification</a> ","y",NA,NA,65.04,0,3.78,"n",15,"",5,NA,"sitePictures/n27a.png","sitePictures/n27b.png","sitePictures/n27c.png","sitePictures/n27d.png"
"248","Rocks and Minerals","219","N28","Onaping Falls","","46.587661",-81.380348,"The best place to view the varied rocks of the Sudbury Impact Structure is at Onaping Falls on Highway 144. A wonderful collection of rock has been assembled there that illustrates the entire <a href=""/def/stratigraphy"">Stratigraphy</a> of the basin, including the ""salt and pepper"" <a href=""/def/norite"">Norite</a> rock that lines the basin, the violently pulverized rock of the Sudbury <a href=""/def/breccia"">Breccia</a>, the brassy copper-nickel<a href=""/def/_ore ""> Ore </a>that lies above, and the glassy ""fall back debris"" that blanketed and partly filled the crater. Onaping Falls was a favorite subject of artists such as A.Y. Jackson of the Group of Seven.","n",NA,NA,NA,NA,NA,"n",15,"",5,NA,"sitePictures/n28a.png","sitePictures/n28b.png","sitePictures/n28c.png","sitePictures/n28d.png"
"249","Earth History","220","N29","Sudbury Breccia","","46.63133333",-81.462,"At Windy Lake Highway 144 North cuts through superb <a href=""/def/outcrops"">Outcrops</a> of the Sudbury <a href=""/def/breccia"">Breccia</a> which formed when <a href=""/def/archean"">Archean</a> <a href=""/def/gneiss"">Gneiss</a> with a prominent dark-coloured<a href=""/def/_dike ""> Dike </a>was <a href=""/def/fracture"">Fracture</a>d (<a href=""/def/breccia"">Breccia</a>ted) during <a href=""/def/meteorite"">Meteorite</a> impact. Look out for thin lens-shaped beds of glass-like ""pseudotachlyite"" where broken rock was melted by the heat of impact among the chaotic <a href=""/def/breccia"">Breccia</a>.","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/n29a.png","sitePictures/n29b.png","sitePictures/n29c.png","sitePictures/n29d.png"
"250","Earth History","221","N30","Pitted Outwash and Kettle Holes","","46.620285",-80.793083,"The road passes by Sudbury Airport on the left and affords dramatic views of what is called ""pitted"" or ""kettled"" <a href=""/def/outwash"">Outwash</a>. The airport is built on the extensive flat surface of an <a href=""/def/outwash"">Outwash</a> <a href=""/def/gravel"">Gravel</a> plain left by rivers when the last <a href=""/def/ice_sheet"">Ice sheet</a> melted and withdrew 11,000 years ago. The ice margin lay at the south end of Lake Wanapitei, feeding <a href=""/def/gravel"">Gravel</a> and<a href=""/def/_sands""> Sands</a>outh into Glacial Lake Algonquin. This was an enormous lake which at one time drained eastward through North Bay down the Ottawa Valley","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/n30a.png","sitePictures/n30b.png","sitePictures/n30c.png","sitePictures/n30d.png"
"251","Earth History","222","N31","Wanapitei Lake","","46.68383333",-80.74783333,"Sudbury can truly be called the impact capital of Ontario, Wanapitei Lake (<a href=""/N31"">N31</a>) north of Sudbury Airport fills another <a href=""/def/meteorite"">Meteorite</a> impact basin, but one much younger than the Sudbury basin. The dating of impact debris, along the southern shore of the lake suggests a 37 million year old impact.","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/n31a.png","sitePictures/n31b.png","sitePictures/n31c.png","sitePictures/n31d.png"
"252","Earth History","223","N32","Espanola Turbidites","","46.27066667",-81.77766667,"Two and a half billion years ago northern Ontario was a quiet place-but it did not remain so for very long. The old rocks of the Superior <a href=""/def/province"">Province</a> were soon buried under thick layers of Huronian <a href=""/def/sandstone"">Sandstone</a> and <a href=""/def/shale"">Shale</a>. These record a large seaway lapping up against the Superior <a href=""/def/province"">Province</a> to the north. Distinct layers of <a href=""/def/sandstone"">Sandstone</a> that were deposited deep underwater on an ancient submarine slope are now exposed in road cuts on Highway 6 immediately north of Espanola and the Serpent River","y",NA,NA,356.21,0,-18.09,"n",14,"",1,NA,"sitePictures/n32a.png","sitePictures/n32b.png","sitePictures/n32c.png","sitePictures/n32d.png"
"253","Earth History","224","N33","Penokean Thrust and Fold Belts","","46.12849",-81.736525,"The drive south along Highway 6 from Espanola to Manitoulin Island takes us across a classic example of a ""fold and thrust"" belt. The road cuts through ridge after ridge of steeply dipping Huronian marine <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> that are about 2.4 billion years old. <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> of an ancient seaway were pushed north and crumpled during the Penokean <a href=""/def/orogeny"">Orogeny</a> 1.8 billion years ago, forming a high mountain range. This has been worn down to expose the deformed rocks that today, create the rugged relief of the La Cloche Mountains.","y",46.127661,-81.73584,40.59,0,-15.18,"n",16,"",1,NA,"sitePictures/n33a.png","sitePictures/n33b.png","sitePictures/n33c.png","sitePictures/n33d.png"
"254","Earth History","225","N34","Whitefish Dike","","46.129231",-81.740307,"The spectacular La Cloche Mountains are best seen from the Willisville Road turnoff (Site <a href=""/N33"">N33</a>). An easy climb takes you to the top of a <a href=""/def/quartzite"">Quartzite</a> ridge marking the North Range of the La Cloche Mountains. Here you'll get great views southward over Georgian Bay. At several points along Highway 6, notably west of the highway bridge over the river at Whitefish Falls  vertical black-coloured igneous intrusive dikes, of 1.25 billion year old <a href=""/def/diabase"">Diabase</a> plunge through the pale coloured <a href=""/def/quartzite"">Quartzite</a>.","y",NA,NA,141.77,0,-10.38,"n",16,"",1,NA,"sitePictures/n34a.png","sitePictures/n34b.png","sitePictures/n34c.png","sitePictures/n34d.png"
"255","Earth History","226","N35","The Clear Lake Earthquake","","46.23933333",-81.747,"At Espanola Municipal Centennial Park there is a classic example of deformation produced when an ancient earthquake shook soft<a href=""/def/sediments"">Sediments</a>ome 2 billion years ago.","n",46.239403,-81.746897,221.77,0,0.94,"n",16,"",1,NA,"sitePictures/n35a.png","sitePictures/n35b.png","sitePictures/n35c.png","sitePictures/n35d.png"
"256","Earth History","227","N36","Killarney Provincial Park","Red Granite and White Quartzite","45.970794",-81.512378,"Killarney boasts geology unlike any other place in Ontario, with the gnarly white <a href=""/def/quartzite"">Quartzite</a> of the La Cloche mountains, formed during the Penokean <a href=""/def/orogeny"">Orogeny</a> to the glacially scoured 'sugarloaf' red <a href=""/def/granite"">Granite</a> hills, stemming from the Grenville <a href=""/def/orogeny"">Orogeny</a>. To experience the geology take the Chikanishing Trail off Highway 637, which should take approximately an hour, to get great views on the Georgian bay coast and the white hills of the La Cloche Mountains in the distance. ","n",NA,NA,NA,NA,NA,"y",13,"",1,NA,"sitePictures/n36a.png","sitePictures/n36b.png","sitePictures/n36c.png","sitePictures/n36d.png"
"257","Earth History","228","N37","Drape Folds on Manitoulin Island","","46.013815",-81.80182,"Manitoulin means ""Spirit Island"" in Ojibwa. At 2,766 square kilometres it is Canada's-and the world's-largest freshwater island. In geologic terms, it is essentially the northward continuation of the Niagara <a href=""/def/escarpment"">Escarpment</a> and its hard backbone <a href=""/def/paleozoic"">Paleozoic</a> <a href=""/def/limestone"">Limestone</a>. The island is easily reached from the south by ferry from the tip of the Bruce Peninsula at Tobermory, or from the north by road (Highway 6 from Espanola on Highway 17). The flat, windswept <a href=""/def/limestone"">Limestone</a> plains of the island contrast with the crystalline rocks of the Canadian <a href=""/def/shield"">Shield</a> exposed just to the north and east.","y",NA,NA,293.18,0,0.08,"n",16,"",1,NA,"sitePictures/n37a.png","sitePictures/n37b.png","sitePictures/n37c.png","sitePictures/n37d.png"
"258","Historic","229","N38","Sheguiandah's Ice Age Peoples","","45.89466667",-81.92083333,"Manitoulin Island  has recently been the site of controversy regarding the arrival of indigenous peoples in Ontario. The village of Sheguiandah, some 11 kilometres south of Little Current, is the site of a major archeological find. In the 1950s, stone tools were supposedly found under glacial<a href=""/def/_tills""> Tills</a>uggesting that Paleo-Indians had arrived in Ontario before the last <a href=""/def/ice_age"">Ice age</a>, well before 20,000 years ago. However, recent excavations and age-dating have shed new light on the significance of the site, telling us that the first occupation occurred 9,500 years ago when the last <a href=""/def/ice_sheet"">Ice sheet</a> was retreating from northern Ontario. Visit the museum in the Sheguiandah, for more on this intriging site.","n",NA,NA,NA,NA,NA,"n",13,"",3,NA,"sitePictures/n38a.png","sitePictures/n38b.png","sitePictures/n38c.png","sitePictures/n38d.png"
"259","Nature","230","N39","Dreamer's Rock","","46.0105",-81.76888333,"Dreamers Rock lies at the southernmost tip of the La Cloche Peninsula. This wonderful site overlooks the small Grassy Bay (now crossed by Highway 6) where Voyageurs portaged from Georgian Bay to get to the North Channel en route to Lake Superior and Hudson Bay (See Site <a href=""/N20"">N20</a>). It is a 100-metre-high knob of radiantly white 2.4 billion-year-old Huronian Lorrain <a href=""/def/quartzite"">Quartzite</a> that commands a magnificent view. Permission is required from the local band council in Birch Island. This is a sacred site.","n",NA,NA,NA,NA,NA,"y",16,"",4,NA,"sitePictures/n39a.png","sitePictures/n39b.png","sitePictures/n39c.png","sitePictures/n39d.png"
"260","Rocks and Minerals","231","N40","Whalebacks at Whitefish","","46.11",-81.73,"Given that Ontario lay under an <a href=""/def/ice_sheet"">Ice sheet</a> just 12,000 years ago, the effects of glacial <a href=""/def/erosion"">Erosion</a> and deposition are ubiquitous; Ontario is essentially a fossil glacial landscape no different from what you see in Iceland or Alaska today. In numerous places <a href=""/def/bedrock"">Bedrock</a> has been smoothed into beautifully streamlined shapes by debris-laden ice flowing over rock and slowly grinding it away. The most impressive glacially-abraded rocks are found in and around the small community of Whitefish Falls. Appropriately for the location, the smoothed and sculpted <a href=""/def/bedrock"">Bedrock</a> ridges are called 'whalebacks.'","n",NA,NA,NA,NA,NA,"n",15,"",5,NA,"sitePictures/n40a.png","sitePictures/n40b.png","sitePictures/n40c.png","sitePictures/n40d.png"
"261","Fossils","232","N41","M'Chigeeng Road Cut","","45.825577",-82.150655,"The road side <a href=""/def/outcrop"">Outcrop</a> at M'Chigeeng in central Manitoulin Island is of Late <a href=""/def/ordovician"">Ordovician</a> Georgian Bay<a href=""/def/_formation ""> Formation </a><a href=""/def/dolostones"">Dolostones</a> containing thin beds of tube-like stromatoporoids (ancient sponges ranging in size from a ping pong ball to a foot ball) and deposited in the quiet, highly saline waters of the Michigan Basin some 400 million years ago. <a href=""/def/paleozoic"">Paleozoic</a> rocks such as these once covered all of Ontario but have slowly been stripped off by rivers and glaciers exposing the Canadian <a href=""/def/shield"">Shield</a> rocks below. Younger, <a href=""/def/silurian"">Silurian</a>-aged Manitoulin<a href=""/def/_formation ""> Formation </a><a href=""/def/dolostones"">Dolostones</a> are exposed in the slopes above. Note the smooth, wall-like surface of the road cut which is the result of well developed <a href=""/def/joint"">Joint</a>ing of the rock.","y",NA,NA,319.2,0,0.39,"n",14,"",2,NA,"sitePictures/n41a.png","sitePictures/n41b.png","sitePictures/n41c.png","sitePictures/n41d.png"
"262","Earth History","233","N42","McLean's Mountain View","","45.95566667",-81.948,"This pull off from Highway 540 and McLean's Mountain Road near Little Current on Manitoulin Island provides a beautiful view northwards from the top of the Niagara <a href=""/def/escarpment"">Escarpment</a> over the Canadian <a href=""/def/shield"">Shield</a> to the north.  In the middle ground are flat-lying 400 million year old <a href=""/def/limestones"">Limestones</a> of Great La Cloche Island that lies in the North Channel and the appropriately named Bay of Islands.  In the distance, emerging from the cover of <a href=""/def/limestones"">Limestones</a> are the rounded stumps of the La Cloche Mountains made of white coloured 2.2 billion year <a href=""/def/quartzite"">Quartzite</a> rocks. These were folded and elevated during the Penokean <a href=""/def/orogeny"">Orogeny</a> some 1.8 billion years ago when a large southern landmass collided with this part of North America. Think of the enormity of time and the many different geologic events represented in this one view. ","n",NA,NA,NA,NA,NA,"n",15,"",1,NA,"sitePictures/n42a.png","sitePictures/n42b.png","sitePictures/n42c.png","sitePictures/n42d.png"
"263","Earth History","234","N43","Cup and Saucer Trail","Hiking up a Rock Mountain","45.865344",-82.102958,"Without a doubt this is the most spectacular trail anywhere in Ontario; meandering up and onto the top of the glacially-sculpted Niagara <a href=""/def/escarpment"">Escarpment</a>. The trails climbs up two <a href=""/def/escarpments"">Escarpments</a>; a lower one forming the saucer and another higher one forming the cup; both are made of the <a href=""/def/outcrop"">Outcrop</a>ping edges of hard <a href=""/def/dolostones"">Dolostones</a> and <a href=""/def/limestones"">Limestones</a>. The Cup and Saucer is a superb example of a 'rock <a href=""/def/drumlin"">Drumlin</a>' where glacier ice flowing from the north during the last <a href=""/def/ice_age"">Ice age</a> about 20,000 years ago carved deep into the face of the <a href=""/def/escarpment"">Escarpment</a>. This created streamlined rock landforms that look like an upturned row boat with 'bullet-shaped' noses that point up-ice to the north.  There are many such examples of rock <a href=""/def/drumlins"">Drumlins</a> along the length of the Bruce Peninsula from Owen Sound to Manitoulin but none are quite so spectacular as the Cup and Saucer.  Smaller more elongate 'rock flutes' are also numerous. Note the large fallen blocks of rock at the base of the cliffs. Some 10,000 years ago, the cold waters of glacial Lake Algonquin lay at the base of these cliffs.  ","n",NA,NA,NA,NA,NA,"y",14,"",1,NA,"sitePictures/n43a.png","sitePictures/n43b.png","sitePictures/n43c.png","sitePictures/n43d.png"
"264","Earth History","235","N44","Glacially Sculpted Rock Flutes","Grooves at South Baymouth","45.55766667",-82.01416667,"While waiting for the Tobermory ferry at South Baymouth, take the time to wander the coastline to the west of the harbour down by the marina. You'll see superb examples of glacially-streamlined <a href=""/def/limestone"">Limestone</a>.  Elongate rock ridges and deeply cut grooves oriented in the direction of ice flow (offshore to the southwest) resemble on satellite images the teeth on a comb; they are excellent examples of <a href=""/def/bedrock"">Bedrock</a> 'megaflutes' and 'megagrooves.' These glacial landforms record intense abrasion of the <a href=""/def/limestone"">Limestone</a> by the last <a href=""/def/ice_sheet"">Ice sheet</a> to have covered the area about 20,000 years ago. They are similar in origin to the much larger rock <a href=""/def/drumlins"">Drumlins</a> on Manitoulin Island such as at the Cup and saucer.  Megaflutes have blunt up-ice noses and narrow in the down ice direction like the backs of whales .The glacially abraded landforms of the  Manitoulin and Bruce Peninsula as they provide geologists with a glimpse of conditions below fast flowing 'ice streams' within the last <a href=""/def/ice_sheet"">Ice sheet</a>. These corridors of fast flowing ice several tens of kilometres wide occur in modern <a href=""/def/ice_sheets"">Ice sheets</a> such as Greenland and Ant<a href=""/def/arctica"">Arctica</a>. In Ontario, they fed the large lobes that moved down the basins now filled with lakes Erie, Huron and Ontario.","n",NA,NA,NA,NA,NA,"n",16,"",1,NA,"sitePictures/n44a.png","sitePictures/n44b.png","sitePictures/n44c.png","sitePictures/n44d.png"
"265","Rocks and Minerals","236","N45","Elliot Lake","Boom and Bust","46.384208",-82.643688,"Elliot Lake achieved international fame in 1953 with the discovery of uranium in coarse <a href=""/def/conglomerates"">Conglomerates</a> exposed around the margins of the Quirke Lake <a href=""/def/syncline"">Syncline</a> that forms a part of the Penokean<a href=""/def/_fold ""> Fold </a>Belt (Site <a href=""/N33"">N33</a>). A mining museum in Elliot Lake tells the story of the boom and inevitable bust (1991) of uranium mining in the area.","y",NA,NA,60.33,0,0.08,"n",16,"",5,NA,"sitePictures/n45a.png","sitePictures/n45b.png","sitePictures/n45c.png","sitePictures/n45d.png"
"266","Rocks and Minerals","237","N46","Bruce Mines","Canada's First Copper Mine","46.301147",-83.788269,"Bruce Mines was Canada's first copper mine opening in 1843. The presence of copper at Bruce Mines spurred much geological work in the area by nineteenth-century Geological Survey of Canada geologists such as Alexander Murray and William Logan. Also look out for the Jasper <a href=""/def/conglomerate"">Conglomerate</a>, or ""puddingstone"", located by the plaque at the entrance which contains small chips of bright red jasper.","y",46.300769,-83.787988,168.7,0,-4.48,"n",16,"",5,NA,"sitePictures/n46a.png","sitePictures/n46b.png","sitePictures/n46c.png","sitePictures/n46d.png"
"267","Earth History","238","N47","Desbarats Ripples","A 2.4 Billion Year Old Seafloor","46.337417",-83.953936,"Immediately west of the small community of Desbarats, some 12 kilometres west of Bruce Mines (Site <a href=""/N38"">N38</a>) on the north side of Highway 17, is a wonderful roadside <a href=""/def/exposure"">Exposure</a> of exquisitely rippled shallow marine <a href=""/def/sandstone"">Sandstone</a>. This belongs to the Cobalt<a href=""/def/_group ""> Group </a>of the Huronian Supergroup and was deposited about 2.4 billion years ago.","y",NA,NA,13.43,0,-1.49,"n",16,"",1,NA,"sitePictures/n47a.png","sitePictures/n47b.png","sitePictures/n47c.png","sitePictures/n47d.png"
"268","Rocks and Minerals","239","N48","Copper Mine Point","","47.00333333",-84.78533333,"One billion years ago, much of what is now northern Ontario almost got torn in two along the Mid-continent Rift. Enormous volumes of <a href=""/def/lava"">Lava</a> flows accumulated in the widening and subsiding rift. The Keweenawan <a href=""/def/sequence"">Sequence</a> is the catch-all term used for the varied igneous and <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> associated with the rift. These include intrusive dikes and the extrusive <a href=""/def/lavas"">Lavas</a> that flowed over the surface. One of Canada's first copper mines exploited copper from the Keweenawan <a href=""/def/lava"">Lava</a> flows.","y",NA,NA,311.05,0,-2.44,"n",14,"",5,NA,"sitePictures/n48a.png","sitePictures/n48b.png","sitePictures/n48c.png","sitePictures/n48d.png"
